Start,Length,Ref. #,Stat Fact,ShapeF,TrackF,MakeF
31,1.5,31,3,3,2,3
17,1.5,50,1,3,2,3
29,1.5,25,1,3,2,3
32,1.5,52,1,3,2,2
14,1.5,16,1,3,2,3
13,1.5,22,1,3,2,3
25,1.5,36,1,3,2,1
8,1.5,2,3,3,2,3
6,1.5,4,1,3,2,1
36,1.5,41,1,3,2,2
20,1.5,26,1,3,2,1
21,1.5,30,2,3,2,1
24,2.5,17,1,5,1,1
14,2.5,29,1,5,1,1
34,2.5,7,1,5,1,3
12,2.5,15,1,5,1,1
17,2.5,5,1,5,1,3
11,2.5,19,1,5,1,1
27,2.5,11,1,5,1,1
9,2.5,14,1,5,1,3
35,2.5,32,1,5,1,1
18,2.5,20,1,5,1,2
19,2.5,18,3,5,1,1
21,2.5,33,1,5,1,3
10,2.5,8,2,5,1,2
38,2.5,47,1,5,1,1
25,2.5,23,1,5,1,2
36,2.5,35,1,5,1,2
3,2.5,13,1,5,1,1
15,2.5,21,1,5,1,1
37,2.5,45,1,5,1,1
7,2.5,10,1,5,1,3
22,2.5,24,3,5,1,1
2,2.5,1,1,5,1,3
6,2.5,12,1,5,1,3
5,2.5,9,1,5,1,2
13,2.5,6,1,5,1,1
33,2.5,18,1,5,1,1
4,2.5,3,1,5,1,2
32,2.5,31,3,5,1,3
26,2.5,50,1,5,1,3
30,2.5,25,1,5,1,3
20,2.5,16,1,5,1,3
23,2.5,22,1,5,1,3
31,2.5,36,1,5,1,1
1,2.5,2,1,5,1,3
8,2.5,4,1,5,1,1
29,2.5,26,1,5,1,1
16,2.5,30,1,5,1,1
25,2,17,1,1,2,1
21,2,29,1,1,2,1
6,2,7,1,1,2,3
16,2,15,1,1,2,1
35,2,51,1,1,2,1
2,2,5,1,1,2,3
28,2,18,1,1,2,1
13,2,19,1,1,2,1
18,2,11,1,1,2,1
12,2,14,1,1,2,3
32,2,39,1,1,2,1
37,2,40,1,1,2,1
22,2,20,1,1,2,2
27,2,33,2,1,2,3
10,2,8,1,1,2,2
8,2,23,1,1,2,2
39,2,53,3,1,2,1
34,2,35,1,1,2,2
24,2,13,1,1,2,1
20,2,21,1,1,2,1
5,2,10,1,1,2,3
29,2,24,1,1,2,1
4,2,1,1,1,2,3
1,2,12,1,1,2,3
3,2,9,1,1,2,2
26,2,6,1,1,2,1
36,2,44,1,1,2,1
17,2,3,1,1,2,2
30,2,31,1,1,2,3
19,2,50,1,1,2,3
23,2,25,1,1,2,3
15,2,16,1,1,2,3
7,2,22,1,1,2,3
33,2,36,1,1,2,1
9,2,2,1,1,2,3
11,2,4,1,1,2,1
38,2,41,1,1,2,2
31,2,26,1,1,2,1
14,2,30,1,1,2,1
19,1.5,17,1,5,2,1
15,1.5,29,1,5,2,1
6,1.5,7,1,5,2,3
14,1.5,15,3,5,2,1
7,1.5,5,1,5,2,3
22,1.5,18,1,5,2,1
3,1.5,19,1,5,2,1
39,1.5,11,1,5,2,1
5,1.5,14,1,5,2,3
32,1.5,39,1,5,2,1
10,1.5,20,1,5,2,2
23,1.5,33,1,5,2,3
37,1.5,8,1,5,2,2
9,1.5,23,1,5,2,2
29,1.5,35,1,5,2,2
13,1.5,13,1,5,2,1
38,1.5,21,1,5,2,1
12,1.5,10,1,5,2,3
24,1.5,24,1,5,2,1
11,1.5,1,1,5,2,3
4,1.5,12,1,5,2,3
16,1.5,9,1,5,2,2
18,1.5,6,1,5,2,1
30,1.5,54,1,5,2,1
31,1.5,44,1,5,2,1
36,1.5,3,1,5,2,2
28,1.5,31,1,5,2,3
26,1.5,25,1,5,2,3
1,1.5,16,1,5,2,3
34,1.5,42,1,5,2,1
20,1.5,22,1,5,2,3
27,1.5,36,1,5,2,1
2,1.5,2,1,5,2,3
17,1.5,4,1,5,2,1
35,1.5,41,3,5,2,2
21,1.5,28,1,5,2,3
25,1.5,26,1,5,2,1
8,1.5,30,1,5,2,1
26,1.5,17,1,5,2,1
15,1.5,29,2,5,2,1
12,1.5,7,1,5,2,3
13,1.5,15,1,5,2,1
34,1.5,51,1,5,2,1
4,1.5,5,1,5,2,3
25,1.5,18,1,5,2,1
16,1.5,19,1,5,2,1
20,1.5,11,1,5,2,1
8,1.5,14,1,5,2,3
31,1.5,39,1,5,2,1
11,1.5,20,1,5,2,2
24,1.5,33,1,5,2,3
36,1.5,8,1,5,2,2
2,1.5,23,1,5,2,2
22,1.5,13,1,5,2,1
38,1.5,55,1,5,2,1
